DEBUG 2024-10-13 00:10:54,741 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\PIL\ImageColor.py first seen with mtime 1726474630.8651738
DEBUG 2024-10-13 00:10:54,741 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1725885131.8050857
DEBUG 2024-10-13 00:10:54,742 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1725885131.8660858
DEBUG 2024-10-13 00:10:54,742 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\socket.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,742 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\rest_framework\checks.py first seen with mtime 1728249562.1868327
DEBUG 2024-10-13 00:10:54,742 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,742 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\weasyprint\css\computed_values.py first seen with mtime 1726474632.6095366
DEBUG 2024-10-13 00:10:54,743 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\weasyprint\matrix.py first seen with mtime 1726474632.606537
DEBUG 2024-10-13 00:10:54,743 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,743 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\dateutil\tz\tz.py first seen with mtime 1728249828.0279138
DEBUG 2024-10-13 00:10:54,743 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\asgiref\sync.py first seen with mtime 1725885133.8935988
DEBUG 2024-10-13 00:10:54,743 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\celery\utils\imports.py first seen with mtime 1728249829.114377
DEBUG 2024-10-13 00:10:54,744 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1725885131.8340855
DEBUG 2024-10-13 00:10:54,744 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\fontTools\ttLib\woff2.py first seen with mtime 1726474631.340505
DEBUG 2024-10-13 00:10:54,744 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\shutil.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,744 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\copy.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,744 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\celery\utils\dispatch\signal.py first seen with mtime 1728249829.1213772
DEBUG 2024-10-13 00:10:54,745 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\fontTools\misc\vector.py first seen with mtime 1726474631.2837229
DEBUG 2024-10-13 00:10:54,745 autoreload File C:\Users\support.user5\AppData\Local\Programs\Python\Python311\Lib\warnings.py first seen with mtime 1707248442.0
DEBUG 2024-10-13 00:10:54,745 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\rest_framework\request.py first seen with mtime 1728249562.1948316
DEBUG 2024-10-13 00:10:54,745 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\click\formatting.py first seen with mtime 1728249828.648245
DEBUG 2024-10-13 00:10:54,745 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1725885129.7159321
DEBUG 2024-10-13 00:10:54,746 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1725885131.8620856
DEBUG 2024-10-13 00:10:54,746 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1725885131.9890866
DEBUG 2024-10-13 00:10:54,746 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\weasyprint\css\targets.py first seen with mtime 1726474632.613536
DEBUG 2024-10-13 00:10:54,746 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1725885131.8050857
DEBUG 2024-10-13 00:10:54,747 autoreload File C:\Users\support.user5\.virtualenvs\RMTR-9CITdqgd\Lib\site-packages\PIL\GimpPaletteFile.py first seen with mtime 1726474630.8586965
